Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview
Trois couleurs: Bleu,1993,"Drama, Music, Mystery",94 min,7.9,A woman struggles to find a way to live her life after the death of her husband and child.
Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi",136 min,7.7,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
Wreck-It Ralph,2012,"Animation, Adventure, Comedy",101 min,7.7,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
The Sandlot,1993,"Comedy, Drama, Family",101 min,7.8,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
Gandhi,1982,"Biography, Drama, History",191 min,8.0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Evil Dead II,1987,"Action, Comedy, Fantasy",84 min,7.8,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
Little Miss Sunshine,2006,"Comedy, Drama",101 min,7.8,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
Children of Men,2006,"Adventure, Drama, Sci-Fi",109 min,7.9,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
Repulsion,1965,"Drama, Horror, Thriller",105 min,7.7,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.
Drishyam,2015,"Crime, Drama, Mystery",163 min,8.2,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
Primal Fear,1996,"Crime, Drama, Mystery",129 min,7.7,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
Anand,1971,"Drama, Musical",122 min,8.4,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
Ondskan,2003,Drama,113 min,7.8,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
Home Alone,1990,"Comedy, Family",103 min,7.6,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
21 Grams,2003,"Crime, Drama, Thriller",124 min,7.6,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
El cuerpo,2012,"Mystery, Thriller",112 min,7.6,A detective searches for the body of a femme fatale which has gone missing from a morgue.
Network,1976,Drama,121 min,8.1,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
Gifted,2017,Drama,101 min,7.6,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
Toki o kakeru shôjo,2006,"Animation, Adventure, Comedy",98 min,7.7,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
Sunrise: A Song of Two Humans,1927,"Drama, Romance",94 min,8.1,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
Spartacus,1960,"Adventure, Biography, Drama",197 min,7.9,The slave Spartacus leads a violent revolt against the decadent Roman Republic.
Stalker,1979,"Drama, Sci-Fi",162 min,8.2,A guide leads two men through an area known as the Zone to find a room that grants wishes.
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,"Drama, Romance",103 min,8.0,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.
The Untouchables,1987,"Crime, Drama, Thriller",119 min,7.9,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
Gone Girl,2014,"Drama, Mystery, Thriller",149 min,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Hotel Rwanda,2004,"Biography, Drama, History",121 min,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
Toy Story,1995,"Animation, Adventure, Comedy",81 min,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
Watership Down,1978,"Animation, Adventure, Drama",91 min,7.6,"Hoping to escape destruction by human developers and save their community, a colony of rabbits, led by Hazel and Fiver, seek out a safe place to set up a new warren."
Kari-gurashi no Arietti,2010,"Animation, Adventure, Family",94 min,7.6,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered."
Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy",152 min,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
The King's Speech,2010,"Biography, Drama, History",118 min,8.0,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport",186 min,8.2,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.
