Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Number_of_genres,Title_len,sep_Overview,IMDB_Rating_power_2_plus_price,Rating_trans,IMDB_Rating_norm_sum,IMDB_Rating_sub_mean,IMDB_Rating_norm_minmax,is_top_movie,Rating_on_1_to_2_scale,random_score,Genre_code,orig_index
Star Wars,1977,"Action, Adventure, Fantasy",121 min,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",3,9,3,82.55999999999999,2.932575659723036,0.0027840725153771445,0.40636604774537055,0.461538461538461,0,1,86,3,0
Casino,1995,"Crime, Drama",178 min,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",2,6,5,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,42,78,6
Taare Zameen Par,2007,"Drama, Family",165 min,8.4,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",2,16,1,78.96000000000001,2.898275349237888,0.0027193266429265135,0.20636604774537126,0.3076923076923078,0,1,87,88,10
Udaan,2010,Drama,134 min,8.2,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",1,5,1,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,4,87,11
Bãhubali: The Beginning,2015,"Action, Drama",159 min,8.0,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",2,23,1,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,0,13,15
La leggenda del pianista sull'oceano,1998,"Drama, Music, Romance",169 min,8.1,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",3,36,3,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,52,105,17
On the Waterfront,1954,"Crime, Drama, Thriller",108 min,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,3,17,0,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,6,84,20
Psycho,1960,"Horror, Mystery, Thriller",109 min,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",3,6,3,80.75,2.9154759474226504,0.002751699579151829,0.3063660477453709,0.3846153846153844,0,1,27,123,23
The Dark Knight,2008,"Action, Crime, Drama",152 min,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",3,15,1,90.0,3.0,0.0029135642602784073,0.8063660477453709,0.7692307692307688,0,1,25,11,25
Dev.D,2009,"Drama, Romance",144 min,8.0,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",2,5,3,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,63,111,27
The Perks of Being a Wallflower,2012,"Drama, Romance",103 min,8.0,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,2,31,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,12,111,30
Joker,2019,"Crime, Drama, Thriller",122 min,8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",3,5,1,80.75,2.9154759474226504,0.002751699579151829,0.3063660477453709,0.3846153846153844,0,1,24,84,34
Shichinin no samurai,1954,"Action, Adventure, Drama",207 min,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,3,20,0,82.55999999999999,2.932575659723036,0.0027840725153771445,0.40636604774537055,0.461538461538461,0,1,94,2,35
